ndvi_mean,ndvi_change_pct,rainfall_7d_mm,rainfall_30d_mm,temperature_avg_7d_c,humidity_avg_7d_pct,crop_type,crop_age_days,health
0.7575,0.34,33.5,128.0,30.15,63.0,Soybean,103,2
0.3247,49.28,20.2,116.1,27.67,53.2,Rice,37,0
0.2387,-28.27,0.0,56.1,32.75,50.7,Rice,43,0
0.05,0.0,10.8,157.7,29.46,42.4,Wheat,15,0
0.3919,-6.78,50.1,176.0,22.09,60.9,Soybean,47,1
0.7473,-3.32,53.2,59.7,26.33,39.0,Wheat,109,2
0.9492,2.07,39.0,156.0,27.29,32.8,Rice,90,2
0.05,-54.54,26.7,107.4,38.76,86.2,Soybean,30,0
0.5776,26.74,38.3,88.7,30.57,42.5,Sugarcane,69,1
0.05,0.0,22.7,186.9,34.53,40.6,Rice,15,0
0.6991,-19.32,45.5,73.0,34.32,37.9,Wheat,101,2
0.8273,-3.57,32.3,119.0,28.72,52.4,Rice,113,2
0.603,-6.13,45.3,123.3,34.43,60.5,Cotton,79,2
0.1664,-40.59,0.0,73.2,19.05,32.6,Sugarcane,53,0
0.05,-67.3,0.0,62.8,41.1,61.5,Sugarcane,26,0
0.5469,4.84,32.5,85.7,32.95,60.2,Sugarcane,64,1
0.6916,-1.88,5.7,45.6,35.68,52.1,Rice,148,1
0.8621,-3.29,36.5,168.2,27.19,40.9,Rice,115,2
0.1825,12.47,16.5,147.4,17.03,43.2,Soybean,50,0
0.7296,-6.65,23.7,82.0,30.02,39.9,Wheat,100,2
0.6286,10.42,37.4,191.8,28.56,50.4,Cotton,77,2
0.5673,5.35,17.2,45.6,28.65,60.0,Wheat,79,1
0.1497,-6.21,26.0,57.4,31.74,57.8,Cotton,36,0
0.6626,-6.59,34.7,34.7,35.68,73.7,Soybean,108,1
0.5997,5.27,22.7,36.4,32.57,85.0,Cotton,144,1
0.2922,-10.73,0.0,102.5,38.11,30.2,Wheat,145,0
0.9464,3.86,36.0,36.0,31.58,46.3,Rice,147,2
0.7483,-1.85,49.1,112.4,20.57,63.1,Cotton,139,2
0.5127,-20.86,9.8,25.9,32.57,58.6,Sugarcane,118,0
0.1182,-41.6,36.7,59.0,31.36,47.0,Wheat,10,0
0.7645,2.3,70.3,217.5,26.97,25.9,Wheat,129,2
0.4626,-2.18,44.5,116.2,21.53,65.5,Rice,36,1
0.3437,3.14,45.4,45.4,29.82,49.1,Wheat,29,0
0.2401,8.8,44.7,106.0,24.65,57.7,Soybean,19,0
0.6768,-6.79,7.4,72.9,28.59,29.4,Rice,115,1
0.9418,-0.86,49.6,103.6,25.43,35.2,Rice,113,2
0.494,-13.2,40.5,109.4,28.17,67.3,Soybean,49,1
0.7173,0.7,17.5,68.2,26.6,66.9,Cotton,124,1
0.5834,24.55,23.9,137.6,17.74,42.6,Sugarcane,81,1
0.6614,-9.86,25.0,145.6,27.77,39.5,Rice,73,2
0.3561,20.64,44.0,78.9,32.24,54.8,Wheat,38,0
0.2012,-32.68,0.0,124.3,27.25,39.7,Wheat,48,0
0.5494,8.36,6.9,163.1,30.41,66.5,Wheat,137,1
0.3509,-12.13,43.7,80.6,30.39,57.4,Wheat,36,1
0.855,-6.13,55.0,149.4,23.9,27.1,Soybean,108,2
0.4702,-24.41,20.7,45.3,29.06,50.5,Sugarcane,74,1
0.05,-61.65,7.0,132.8,32.2,61.6,Soybean,21,0
0.7256,-12.37,38.5,38.5,29.42,46.7,Cotton,125,2
0.7637,-3.58,36.4,157.5,29.06,58.0,Soybean,125,2
0.05,-52.9,28.7,86.0,37.99,68.4,Cotton,26,0
0.5434,-7.9,2.9,82.4,25.27,36.2,Rice,68,1
0.1952,38.61,54.9,143.0,34.13,55.6,Wheat,36,0
0.834,-1.54,62.2,145.0,28.34,36.3,Soybean,115,2
0.7977,-2.36,36.3,64.8,25.86,59.7,Soybean,121,2
0.5527,-4.12,18.0,161.9,23.19,23.3,Cotton,144,1
0.6543,3.61,60.4,60.4,30.98,78.4,Wheat,82,2
0.6993,-5.97,21.8,161.4,38.19,50.0,Rice,121,1
0.3839,-24.83,33.3,108.3,44.89,67.8,Rice,134,0
0.6668,-3.68,52.7,91.6,30.39,55.2,Wheat,75,2
0.513,-15.35,5.4,17.9,28.71,56.3,Soybean,143,1
0.6263,-3.43,15.4,87.7,30.39,39.9,Wheat,83,2
0.2162,-22.65,29.7,79.0,28.48,54.6,Rice,25,0
0.3007,19.36,2.7,104.4,35.22,48.5,Cotton,143,0
0.5968,6.53,19.8,91.9,27.44,70.7,Wheat,85,1
0.5778,-17.64,39.7,95.1,28.26,78.8,Rice,61,1
0.1758,16.54,31.7,36.2,25.24,61.0,Sugarcane,24,0
0.7005,4.93,65.9,116.5,35.82,26.8,Soybean,129,2
0.7145,-3.02,25.8,184.1,28.15,61.2,Soybean,118,2
0.7925,0.67,59.1,172.4,30.55,63.8,Soybean,143,1
0.1699,-17.14,52.2,114.5,35.0,59.3,Soybean,31,0
0.0569,13.76,0.0,3.8,31.26,62.2,Rice,29,0
0.1866,47.58,86.1,89.9,31.04,79.3,Rice,17,0
0.4617,-8.53,0.0,77.2,25.29,68.9,Sugarcane,115,0
0.7255,13.27,45.4,45.4,23.79,71.6,Soybean,79,2
0.5279,8.39,0.0,101.5,32.68,60.6,Cotton,95,1
0.95,0.0,45.1,74.9,26.59,68.1,Rice,114,2
0.6643,0.27,38.8,128.3,29.61,57.0,Sugarcane,65,2
0.7613,-5.63,45.8,90.1,30.7,65.1,Wheat,107,1
0.4989,-0.62,66.1,66.1,20.72,39.3,Rice,55,1
0.3144,67.32,45.5,107.0,30.58,61.1,Sugarcane,29,0
0.6644,1.85,30.9,89.8,34.23,72.8,Wheat,95,2
0.6963,-8.37,54.7,62.1,33.03,65.2,Wheat,108,2
0.5351,-7.66,10.9,47.0,26.31,63.1,Rice,71,1
0.8113,-4.2,32.7,212.3,22.11,77.1,Sugarcane,149,2
0.546,-3.05,26.2,162.7,26.72,72.0,Sugarcane,74,1
0.6212,18.18,66.1,86.1,28.02,38.3,Wheat,73,2
0.8922,1.03,63.0,230.5,26.07,76.5,Sugarcane,142,2
0.3849,2.0,32.8,69.6,22.01,31.8,Soybean,44,1
0.4701,-5.94,49.9,99.0,25.72,73.4,Cotton,44,1
0.4131,-9.24,58.3,120.7,31.99,62.8,Wheat,54,1
0.5871,-1.3,62.6,132.0,36.44,50.9,Cotton,136,1
0.9125,-0.02,58.3,71.9,30.76,40.2,Rice,89,2
0.6189,16.45,25.4,76.5,37.86,53.5,Rice,129,1
0.5687,-7.02,12.9,159.1,28.18,74.3,Sugarcane,87,1
0.7374,-5.32,73.0,73.0,18.99,46.9,Wheat,85,2
0.571,6.27,55.5,141.5,29.92,69.4,Sugarcane,57,1
0.7034,1.35,30.0,163.6,16.75,33.7,Soybean,138,2
0.05,-51.54,5.4,47.0,41.29,82.0,Cotton,45,0
0.4324,-6.14,27.1,40.1,28.58,31.0,Sugarcane,62,1
0.05,0.0,0.0,132.7,25.0,64.5,Wheat,28,0
0.6041,-10.16,45.3,83.0,36.66,70.1,Wheat,118,1
0.152,-23.17,0.0,43.7,36.42,39.1,Sugarcane,76,0
0.1495,-20.07,13.7,56.3,25.44,41.8,Wheat,20,0
0.4235,38.03,25.4,54.3,15.74,34.3,Soybean,68,1
0.2061,-17.11,28.9,154.5,31.05,66.7,Cotton,37,0
0.6908,-0.75,44.0,118.3,26.25,38.2,Rice,75,2
0.9198,6.21,30.7,118.5,32.09,78.3,Rice,121,2
0.7714,13.8,56.1,93.4,26.94,27.9,Wheat,103,2
0.6616,-2.95,10.1,105.1,25.37,45.6,Wheat,145,1
0.4139,0.49,55.0,94.9,32.98,48.3,Wheat,52,1
0.6673,-6.42,46.3,119.7,36.68,76.7,Soybean,145,1
0.8503,15.58,15.0,171.0,30.82,51.7,Rice,147,2
0.3848,-13.5,31.5,102.5,22.37,54.7,Soybean,38,1
0.5969,4.33,20.1,20.1,30.29,67.7,Wheat,104,1
0.7591,22.15,31.3,31.3,32.07,66.3,Soybean,140,2
0.5362,-9.19,0.0,72.6,23.1,67.1,Wheat,137,1
0.6628,3.49,24.9,108.8,21.57,72.9,Wheat,112,2
0.8751,-5.12,35.7,138.4,30.46,31.2,Rice,120,2
0.3754,-9.51,51.9,103.5,31.06,82.9,Sugarcane,36,1
0.5363,-24.71,10.1,111.4,31.19,47.1,Soybean,133,2
0.7354,-2.8,52.9,84.5,27.74,63.4,Cotton,108,2
0.2062,-24.55,20.6,64.6,26.95,51.2,Rice,31,0
0.3969,-16.26,20.5,108.8,23.37,74.9,Cotton,53,1
0.8778,-1.2,40.1,40.1,28.88,60.5,Soybean,146,2
0.7124,-0.79,60.7,60.7,27.41,52.5,Cotton,146,2
0.1517,-16.56,38.4,44.2,25.64,77.2,Sugarcane,20,0
0.8591,2.32,45.1,80.9,31.88,33.9,Cotton,146,2
0.0723,-38.94,15.5,124.7,30.28,64.8,Rice,18,0
0.7021,-12.89,0.0,153.0,35.84,42.2,Rice,96,1
0.5616,8.72,24.6,79.5,30.95,76.0,Rice,62,1
0.3766,35.24,46.4,127.3,27.65,41.1,Rice,42,1
0.548,-8.04,19.0,19.0,22.76,71.8,Soybean,81,1
0.05,-29.73,26.4,104.5,40.63,77.7,Cotton,41,0
0.808,-4.15,27.4,70.2,36.34,53.3,Rice,125,1
0.8294,-0.29,54.1,54.1,24.73,61.9,Wheat,102,2
0.4307,32.5,0.0,1.6,29.55,71.9,Wheat,74,1
0.4918,-6.43,82.4,82.4,27.05,80.6,Sugarcane,48,1
0.8478,-2.04,49.4,49.5,33.39,34.4,Sugarcane,116,2
0.0772,54.39,14.4,36.4,27.23,38.4,Cotton,27,0
0.3334,-17.8,15.8,58.8,35.63,60.0,Cotton,72,0
0.9448,14.53,79.9,96.6,29.34,63.2,Rice,115,2
0.5703,33.81,12.1,155.6,27.42,26.0,Wheat,116,1
0.5983,-9.78,19.4,143.9,34.99,52.4,Rice,137,1
0.5623,13.3,54.5,54.5,39.04,40.6,Wheat,89,1
0.7747,-1.35,23.5,132.0,30.18,53.4,Sugarcane,132,1
0.8409,2.68,43.8,109.8,21.16,44.1,Rice,87,2
0.5469,-8.21,11.8,128.6,33.05,52.8,Soybean,105,1
0.7899,10.38,6.5,58.3,23.18,57.4,Rice,124,1
0.8661,-6.87,38.5,89.4,21.73,36.1,Sugarcane,118,2
0.174,126.67,59.7,82.3,31.75,44.5,Rice,15,0
0.0689,15.3,5.4,67.2,22.07,33.9,Cotton,36,0
0.4416,-17.69,38.0,101.9,36.89,39.0,Soybean,67,1
0.1922,0.4,22.2,157.9,31.54,57.9,Soybean,38,0
0.4989,22.02,28.9,93.9,25.61,63.0,Sugarcane,48,1
0.1413,-33.75,44.4,92.3,32.81,72.6,Cotton,14,0
0.3891,0.06,39.4,143.9,22.9,42.5,Soybean,41,1
0.4264,-15.83,0.0,138.7,29.04,51.9,Soybean,141,0
0.5474,2.0,46.2,46.2,29.27,53.2,Sugarcane,50,1
0.8216,-2.76,61.8,116.8,27.07,51.5,Rice,137,2
0.8806,-7.31,33.2,209.3,23.5,53.5,Soybean,111,2
0.4485,-3.35,30.0,104.1,25.51,53.7,Wheat,67,1
0.506,10.98,0.0,139.4,30.82,44.1,Cotton,117,1
0.7876,0.96,60.7,60.7,32.2,46.9,Cotton,88,2
0.05,0.0,0.0,20.9,26.34,36.3,Rice,17,0
0.2429,-8.16,35.1,35.1,26.53,57.1,Sugarcane,42,0
0.5355,-7.41,36.5,141.2,28.18,46.3,Soybean,72,1
0.6852,-9.23,33.2,60.8,26.36,64.1,Cotton,146,2
0.1424,-2.99,78.1,146.4,29.49,40.9,Cotton,19,0
0.7692,10.65,29.2,79.3,21.79,47.3,Wheat,133,2
0.523,-11.45,32.8,70.6,36.39,62.6,Wheat,121,1
0.1084,39.55,37.8,65.4,33.46,43.4,Rice,20,0
0.1561,22.7,45.7,175.5,40.34,39.5,Cotton,50,0
0.6309,4.6,3.6,37.4,28.28,36.7,Wheat,105,1
0.3191,-22.72,22.2,67.4,29.36,35.6,Sugarcane,43,0
0.6132,24.75,35.3,35.3,36.31,67.1,Rice,78,1
0.753,15.23,60.3,145.5,21.04,59.5,Cotton,79,2
0.2905,-1.16,0.0,73.7,27.36,52.8,Wheat,61,0
0.2007,-11.62,22.4,69.5,29.46,26.2,Sugarcane,37,0
0.4218,-2.83,0.0,0.0,30.37,54.9,Cotton,78,1
0.2411,-13.82,42.1,77.0,18.46,66.5,Rice,11,0
0.4474,-0.76,51.5,167.9,24.62,51.6,Rice,41,1
0.8739,6.59,44.5,94.4,30.1,51.1,Cotton,99,2
0.721,10.26,52.0,52.0,22.45,24.4,Wheat,83,1
0.4498,5.94,14.0,101.6,27.5,65.1,Rice,54,0
0.1162,-26.73,0.0,122.8,23.58,76.2,Rice,24,0
0.2752,15.52,47.0,71.5,30.18,68.1,Wheat,35,0
0.4321,-18.6,0.0,126.5,38.04,76.4,Rice,143,0
0.7508,13.29,32.5,32.5,30.33,39.0,Wheat,109,2
0.05,0.0,10.4,33.2,18.22,51.0,Soybean,24,0
0.05,-65.53,3.1,62.3,34.36,64.0,Soybean,34,0
0.1483,-20.33,33.7,66.5,31.18,43.3,Wheat,11,0
0.3523,1.44,0.0,59.2,34.13,50.2,Soybean,95,0
0.7991,-6.11,58.2,87.2,23.04,46.3,Soybean,128,2
0.1738,-16.94,19.9,46.8,35.47,34.7,Cotton,40,0
0.05,-30.82,10.0,26.3,29.47,36.6,Sugarcane,43,0
0.3673,9.41,7.3,46.4,39.0,55.8,Sugarcane,104,0
0.3985,-13.7,4.4,135.4,22.99,50.7,Sugarcane,82,0
0.142,7.51,24.1,53.3,31.43,58.6,Cotton,29,0
0.4732,18.22,22.3,95.2,37.48,34.9,Wheat,83,0
0.4272,2.81,34.3,62.0,29.16,51.2,Cotton,57,1
0.6333,-11.28,9.8,22.0,30.95,63.2,Wheat,115,1
0.7606,5.19,37.6,85.4,26.35,88.2,Cotton,136,2
0.535,-12.66,0.0,146.1,28.53,38.3,Cotton,85,1
0.1181,14.4,46.5,89.5,36.95,57.4,Soybean,31,0
0.0712,42.36,30.4,50.5,29.65,54.0,Rice,11,0
0.5577,0.55,35.1,66.1,35.54,47.6,Rice,67,1
0.8318,-6.0,18.4,139.8,24.03,59.4,Rice,88,2
0.3723,7.47,0.0,40.3,32.3,62.5,Cotton,74,0
0.66,19.7,59.0,232.9,30.83,63.7,Wheat,79,2
0.5545,-3.42,0.0,176.1,30.36,60.7,Wheat,109,1
0.0611,22.23,43.3,80.2,27.29,33.9,Cotton,11,0
0.371,-8.41,29.1,92.7,18.22,41.3,Cotton,48,1
0.4408,-5.99,55.6,128.9,28.52,48.0,Soybean,50,1
0.8532,4.69,33.3,130.9,29.47,66.8,Sugarcane,112,2
0.8703,3.38,36.4,36.4,25.43,66.6,Rice,139,2
0.7345,-4.0,10.0,100.6,30.95,62.4,Rice,82,2
0.8909,-0.88,31.6,95.4,30.08,66.6,Rice,129,2
0.3338,-25.17,29.3,99.7,40.03,47.1,Wheat,75,0
0.6763,-9.41,20.5,106.2,25.01,49.7,Cotton,103,2
0.0617,-23.24,27.6,73.4,42.52,60.9,Rice,52,0
0.1607,45.44,20.9,96.4,28.68,66.0,Wheat,35,0
0.413,14.93,38.3,49.5,32.39,43.8,Rice,46,1
0.95,12.08,62.5,121.7,32.02,73.7,Soybean,116,2
0.3552,-6.96,8.7,36.1,27.5,36.8,Wheat,58,1
0.4407,5.28,45.1,71.3,39.61,58.5,Cotton,95,1
0.2986,1.46,27.0,66.6,39.05,63.2,Soybean,66,0
0.8244,5.81,34.3,34.3,28.1,55.2,Rice,86,2
0.6389,-6.72,32.3,120.2,34.4,50.6,Cotton,149,2
0.7156,-2.47,49.8,139.0,35.46,81.7,Sugarcane,109,2
0.05,0.0,13.8,15.7,29.46,43.5,Wheat,14,0
0.05,0.0,33.8,119.0,39.93,59.2,Wheat,16,0
0.5154,-4.28,6.9,37.8,28.8,53.6,Soybean,108,1
0.05,-23.46,0.0,137.1,31.46,45.7,Sugarcane,33,1
0.7814,6.34,4.1,85.8,32.38,19.3,Rice,112,1
0.6136,1.94,57.1,117.5,17.11,43.2,Wheat,70,2
0.493,15.3,45.2,79.3,19.77,48.2,Soybean,50,1
0.1063,112.62,33.2,33.2,22.61,83.3,Sugarcane,21,0
0.6204,-18.05,57.6,103.8,31.29,60.4,Soybean,62,2
0.1386,-33.8,41.2,147.1,35.01,48.6,Sugarcane,19,0
0.5037,-1.55,17.3,74.7,26.55,41.6,Sugarcane,126,1
0.7204,-4.51,78.4,90.7,35.46,58.9,Cotton,121,2
0.95,1.74,42.4,108.3,27.56,61.1,Soybean,134,2
0.3657,-19.43,58.5,90.6,17.08,62.8,Wheat,55,1
0.5845,-4.8,7.4,12.4,30.3,54.5,Wheat,107,1
0.05,-17.59,56.2,132.2,36.4,52.1,Cotton,16,0
0.5986,-11.51,25.6,55.4,36.51,66.2,Soybean,148,1
0.6324,-16.39,0.4,0.4,29.75,59.9,Wheat,134,1
0.5356,-6.43,21.2,114.0,41.66,77.2,Rice,146,0
0.7181,20.65,2.5,78.1,28.43,78.9,Rice,140,1
0.6952,2.94,31.1,85.7,27.63,66.9,Soybean,106,2
0.3104,-25.35,0.0,123.4,34.62,54.3,Soybean,143,0
0.4609,-15.35,7.8,32.0,26.79,52.3,Sugarcane,85,0
0.8633,1.99,37.0,55.1,24.67,30.3,Sugarcane,110,2
0.6647,-13.73,7.5,168.8,20.49,33.4,Wheat,105,1
0.5842,4.69,45.4,45.4,19.69,50.8,Cotton,57,1
0.2528,-19.61,82.7,82.7,28.92,82.3,Cotton,37,0
0.6095,-0.37,23.9,42.1,24.08,59.1,Rice,63,2
0.3943,-6.95,5.7,127.0,33.1,94.1,Sugarcane,83,0
0.6367,-3.47,16.6,69.8,31.71,42.6,Wheat,126,2
0.2372,5.02,0.0,0.0,22.7,35.3,Sugarcane,68,0
0.2742,4.3,19.0,156.1,32.31,55.2,Rice,40,0
0.6021,-3.84,7.3,91.8,18.84,58.2,Soybean,136,1
0.8854,-5.72,35.4,88.2,28.5,53.3,Rice,91,2
0.422,9.8,35.7,89.9,33.08,44.5,Rice,44,1
0.6385,-4.2,26.9,26.9,26.26,73.5,Cotton,79,2
0.064,-6.73,60.4,136.0,36.61,60.4,Rice,14,1
0.7707,-4.14,50.1,96.2,26.07,55.2,Soybean,74,2
0.4839,0.88,74.6,79.3,20.0,83.4,Sugarcane,46,1
0.64,-3.73,16.5,147.4,31.71,58.7,Sugarcane,131,1
0.6001,-8.6,8.4,8.9,32.07,64.5,Cotton,124,1
0.5731,-6.7,28.9,65.6,27.44,85.3,Cotton,83,1
0.2363,-21.83,19.2,19.2,30.95,49.3,Wheat,52,0
0.8048,4.91,39.0,92.3,35.64,80.2,Rice,88,2
0.5059,-13.33,0.0,113.5,40.36,64.6,Rice,109,0
0.4543,-17.68,9.6,41.8,35.33,75.6,Wheat,107,1
0.7955,-4.5,41.5,139.7,29.41,76.2,Wheat,148,2
0.2266,-7.06,41.7,125.6,20.96,42.7,Wheat,19,0
0.8057,5.1,16.4,160.6,28.56,58.1,Rice,85,2
0.5743,4.27,50.7,50.7,20.66,67.4,Soybean,64,1
0.4512,8.31,29.8,136.5,25.14,79.9,Rice,53,1
0.1184,-22.37,16.2,82.2,35.77,77.0,Wheat,48,0
0.101,-12.86,28.6,90.3,34.7,73.1,Soybean,33,0
0.95,1.0,44.7,85.6,24.15,40.6,Rice,129,2
0.6127,8.03,37.3,209.6,23.71,26.5,Sugarcane,59,2
0.7046,5.68,36.7,42.5,28.1,61.7,Soybean,83,2
0.359,7.97,19.4,95.9,27.0,50.9,Rice,45,1
0.05,-55.73,18.4,114.3,27.8,60.5,Sugarcane,14,0
0.3187,-5.45,60.8,78.9,33.98,44.6,Cotton,52,0
0.8968,2.51,62.2,62.2,22.6,39.5,Rice,148,2
0.8079,9.0,42.4,97.3,30.97,42.1,Soybean,81,2
0.8455,-0.03,35.3,81.2,31.0,12.1,Sugarcane,92,2
0.2638,-6.1,28.1,33.0,28.29,56.0,Rice,31,0
0.7717,2.01,34.4,154.5,20.33,57.7,Soybean,120,2
0.7758,3.71,76.0,76.0,23.15,35.5,Soybean,73,2
0.2324,-32.89,6.4,78.2,41.29,75.9,Cotton,129,0
0.3403,-14.16,55.5,148.0,34.23,48.0,Cotton,48,0
0.05,-55.3,0.0,95.7,34.4,37.0,Wheat,13,0
0.05,0.0,12.6,12.6,26.33,68.3,Sugarcane,17,0
0.3107,0.2,50.6,128.5,33.84,63.7,Soybean,41,0
0.6126,6.92,43.9,66.8,31.33,39.8,Wheat,62,2
0.3895,7.37,39.6,94.7,29.05,54.2,Rice,42,1
0.5648,-3.3,10.4,64.2,34.5,65.1,Wheat,116,1
0.05,-33.99,23.5,138.5,33.37,40.3,Wheat,24,0
0.7057,4.46,37.0,37.0,25.83,49.5,Rice,74,1
0.3218,-12.66,49.5,127.6,33.22,31.9,Soybean,37,0
0.63,0.91,27.1,182.1,38.62,30.0,Soybean,108,0
0.3296,-25.93,5.1,114.7,28.46,63.3,Soybean,66,0
0.7247,4.43,57.4,119.0,32.66,45.0,Cotton,103,2
0.1699,20.19,54.4,82.2,36.15,75.5,Sugarcane,31,0
0.8104,4.75,33.2,73.0,24.55,33.0,Sugarcane,87,2
0.0543,8.63,0.0,115.5,36.65,56.0,Soybean,57,0
0.4331,-2.28,0.0,95.8,17.79,35.2,Sugarcane,109,0
0.7705,-5.43,52.3,127.6,34.7,55.0,Soybean,114,2
0.5207,5.26,21.7,49.1,31.11,53.6,Wheat,75,1
0.758,-8.62,32.0,46.9,33.04,46.6,Rice,114,2
0.3008,8.04,31.0,147.1,29.1,37.0,Wheat,37,0
0.4465,-3.0,0.0,107.9,38.72,78.6,Sugarcane,95,0
0.9257,-2.56,35.6,35.6,25.78,44.9,Rice,144,2
0.0682,36.45,22.2,52.7,33.35,72.7,Wheat,16,0
0.4879,-0.3,65.5,69.9,25.25,79.6,Wheat,49,1
0.5411,13.34,35.7,170.0,31.11,65.9,Sugarcane,54,1
0.6569,-2.7,21.8,21.8,18.36,39.7,Rice,71,2
0.5214,12.03,0.0,88.6,30.52,44.0,Cotton,128,1
0.2036,13.58,80.8,88.4,34.14,54.2,Rice,28,0
0.3886,-26.08,10.4,83.7,25.95,89.5,Sugarcane,72,1
0.05,-69.33,0.0,67.6,30.05,78.8,Wheat,13,0
0.1026,-60.5,28.5,209.5,26.57,43.5,Sugarcane,29,0
0.2277,-2.74,61.2,124.4,38.83,31.8,Cotton,54,0
0.05,-59.04,23.2,127.0,40.8,49.7,Soybean,22,0
0.5481,-19.02,14.2,142.9,30.89,24.3,Sugarcane,140,0
0.05,-40.5,25.7,90.7,32.68,34.6,Cotton,21,0
0.4209,-11.84,0.0,107.9,34.46,62.3,Soybean,104,0
0.79,2.92,61.5,84.0,24.55,47.6,Wheat,101,2
0.4455,-1.19,52.2,161.2,33.98,41.0,Rice,56,1
0.718,-5.71,19.0,66.3,25.64,50.3,Sugarcane,142,1
0.1693,28.73,22.7,90.2,30.28,61.5,Wheat,17,0
0.4527,14.36,0.0,128.5,35.34,42.1,Wheat,99,0
0.1517,-27.62,18.3,34.6,30.15,47.2,Rice,27,0
0.7314,3.31,33.9,138.5,35.19,45.0,Soybean,145,1
0.6019,-0.66,63.2,63.2,39.07,63.9,Rice,94,1
0.3805,7.69,28.2,92.2,32.79,57.0,Sugarcane,61,1
0.1767,5.49,70.4,129.0,30.44,66.2,Rice,21,0
0.7681,-4.58,38.3,99.3,32.44,63.2,Wheat,107,2
0.5935,1.29,11.8,108.5,32.34,45.0,Cotton,139,1
0.2205,-45.2,61.6,143.3,31.69,84.6,Rice,23,1
0.1849,-8.38,39.3,131.8,28.43,81.7,Cotton,20,0
0.56,15.24,26.6,59.6,25.12,95.1,Cotton,75,1
0.1736,41.19,43.7,117.7,32.38,45.3,Soybean,12,0
0.489,-16.76,0.3,143.2,32.44,69.6,Soybean,120,0
0.6061,6.53,34.4,121.4,30.9,40.2,Cotton,81,2
0.05,0.0,0.0,40.9,25.38,49.6,Wheat,37,0
